fips,num_beds,num_icu,bed_util
8014,40,4,0.286924
8015,25,2,0.410192
8017,25,2,0.056787
8021,17,3,0.172925
8029,49,6,0.273693
8031,2750,280,0.4752145
8035,596,69,0.514042333
8037,56,5,0.249071
8041,905,95,0.495259667
8043,25,4,0.595178
8045,103,8,0.6188995
8049,23,3,0.485453
8051,24,3,0.233425
8055,20,3,0.134075
8059,631,104,0.547427
8061,25,4,0.648767
8063,19,3,0.243836
8065,25,1,0.094863
8067,94,13,0.3255515
8069,590,51,0.4144166
8071,25,4,0.287014
8073,15,3,0.17242
8075,25,4,0.324055
8077,431,34,0.487096333
8081,25,4,0.353096
8083,25,4,0.384548
8085,75,8,0.366521
8087,75,10,0.154639
8089,25,5,0.490822
8095,40,7,0.5063195
8097,25,4,0.254575
8099,25,4,0.327342
8101,758,17,0.617097
8103,35,6,0.480219
8105,17,3,0.396938
8107,39,4,0.223814
8115,15,2,0.222831
8117,35,8,0.252538
8119,15,3,0.294612
8123,428,33,0.523677
8125,30,6,0.185702
9001,1612,173,0.618892333
9003,2486,331,0.536070714
9005,157,21,0.3883115
9007,300,40,0.552822
9009,1332,179,0.5394325
9011,419,25,0.634524
9013,152,16,0.3864135
9015,148,14,0.516631
10001,266,29,0.68772
10003,1301,93,0.51747
10005,477,52,0.536637333
11001,2950,271,0.693351333
12001,1510,222,0.823721
12003,25,4,0.120678
12005,546,77,0.625728
12007,49,4,0.445589
12009,1531,159,0.507463671
12011,5218,502,0.558070929
12013,25,3,0.500457
12015,715,51,0.515294
12017,332,40,0.556914
12019,423,36,0.67695865
12021,496,73,0.6004663
12023,190,27,0.481034
12027,49,8,0.174951
12031,2929,399,0.629064743
12033,1573,97,0.647299333
12035,99,18,0.904469
12037,25,4,0.052164
12039,949,4,0.197032
12045,19,3,0.2027397
12049,25,4,0.911562
12051,25,3,0.157808
12053,470,44,0.6305245
12055,273,38,0.4872615
12057,3761,417,0.5546677
12059,20,3,0.469178
12061,486,40,0.4798065
12063,100,7,0.517933
12069,805,109,0.684296
12071,1440,141,0.60814575
12073,1038,50,0.76266
12079,25,4,0.462685
12081,798,98,0.609257667
12083,681,110,0.7380405
12085,244,66,0.608303
12086,6969,695,0.511138644
12087,147,14,0.161603667
12089,62,9,0.592745
12091,412,51,0.573901
12093,100,8,0.474712
12095,2502,310,0.668340333
12097,564,66,0.633260133
12099,4158,404,0.559348231
12101,1204,139,0.5571356
12103,3167,242,0.5643552
12105,1736,145,0.4849774
12107,99,10,0.618818
12109,335,47,0.455007
12111,798,77,0.7404085
12113,255,20,0.447569333
12115,1406,118,0.46620425
12117,285,38,0.572196
12119,307,56,0.583473
12121,25,4,0.388055
12123,48,6,0.109817
12125,145,25,0.335123
12127,1419,256,0.6432946
12131,136,28,0.3605575
12133,59,4,0.585973
13001,49,3,0.210475
13005,25,4,0.517699
13009,140,12,0.275902
13013,56,6,0.188992
13015,119,21,0.757177
13017,75,5,0.218322
13019,63,9,0.042761
13021,1050,115,0.647634
13023,25,3,0.862466
13027,25,4,0.622027
13031,195,31,0.616477
13033,40,7,0.070479
13035,25,4,0.522082
13039,40,5,0.454863
13043,25,6,0.311014
13045,326,28,0.7470855
13047,179,6,0.107687
13051,1126,62,0.716364667
13057,126,20,1
13059,555,92,0.6806315
13063,331,34,0.485021
13065,25,3,0.467945
